con,Country,beer_servings,spirit_servings,wine_servings,total_litres_of_pure_alcohol
honduras,Honduras,69,98,2,3
hungary,Hungary,234,215,185,11.3
iceland,Iceland,233,61,78,6.6
india,India,9,114,0,2.2
indonesia,Indonesia,5,1,0,0.1
iran,Iran,0,0,0,0
iraq,Iraq,9,3,0,0.2
ireland,Ireland,313,118,165,11.4
israel,Israel,63,69,9,2.5
italy,Italy,85,42,237,6.5
jamaica,Jamaica,82,97,9,3.4
japan,Japan,77,202,16,7
jordan,Jordan,6,21,1,0.5
kazakhstan,Kazakhstan,124,246,12,6.8
kenya,Kenya,58,22,2,1.8
kiribati,Kiribati,21,34,1,1
kuwait,Kuwait,0,0,0,0
kyrgyzstan,Kyrgyzstan,31,97,6,2.4
laos,Laos,62,0,123,6.2
latvia,Latvia,281,216,62,10.5
lebanon,Lebanon,20,55,31,1.9
lesotho,Lesotho,82,29,0,2.8
liberia,Liberia,19,152,2,3.1
libya,Libya,0,0,0,0
lithuania,Lithuania,343,244,56,12.9
luxembourg,Luxembourg,236,133,271,11.4
madagascar,Madagascar,26,15,4,0.8
malawi,Malawi,8,11,1,1.5
malaysia,Malaysia,13,4,0,0.3
maldives,Maldives,0,0,0,0
mali,Mali,5,1,1,0.6
malta,Malta,149,100,120,6.6
marshall islands,Marshall Islands,0,0,0,0
mauritania,Mauritania,0,0,0,0
mauritius,Mauritius,98,31,18,2.6
mexico,Mexico,238,68,5,5.5
micronesia,Micronesia,62,50,18,2.3
monaco,Monaco,0,0,0,0
mongolia,Mongolia,77,189,8,4.9
montenegro,Montenegro,31,114,128,4.9
morocco,Morocco,12,6,10,0.5
mozambique,Mozambique,47,18,5,1.3
myanmar,Myanmar,5,1,0,0.1
namibia,Namibia,376,3,1,6.8
nauru,Nauru,49,0,8,1
nepal,Nepal,5,6,0,0.2
netherlands,Netherlands,251,88,190,9.4
new zealand,New Zealand,203,79,175,9.3
nicaragua,Nicaragua,78,118,1,3.5
niger,Niger,3,2,1,0.1
nigeria,Nigeria,42,5,2,9.1
niue,Niue,188,200,7,7
norway,Norway,169,71,129,6.7
oman,Oman,22,16,1,0.7
pakistan,Pakistan,0,0,0,0
palau,Palau,306,63,23,6.9
panama,Panama,285,104,18,7.2
papua new guinea,Papua New Guinea,44,39,1,1.5
paraguay,Paraguay,213,117,74,7.3
peru,Peru,163,160,21,6.1
philippines,Philippines,71,186,1,4.6
poland,Poland,343,215,56,10.9
portugal,Portugal,194,67,339,11
qatar,Qatar,1,42,7,0.9
south korea,South Korea,140,16,9,9.8
moldova,Moldova,109,226,18,6.3
romania,Romania,297,122,167,10.4
russian federation,Russian Federation,247,326,73,11.5
rwanda,Rwanda,43,2,0,6.8
st. kitts & nevis,St. Kitts & Nevis,194,205,32,7.7
st. lucia,St. Lucia,171,315,71,10.1
st. vincent & the grenadines,St. Vincent & The Grenadines,120,221,11,6.3
samoa,Samoa,105,18,24,2.6
san marino,San Marino,0,0,0,0
sao tome & principe,Sao Tome & Principe,56,38,140,4.2
saudi arabia,Saudi Arabia,0,5,0,0.1
senegal,Senegal,9,1,7,0.3
serbia,Serbia,283,131,127,9.6
seychelles,Seychelles,157,25,51,4.1
sierra leone,Sierra Leone,25,3,2,6.7
singapore,Singapore,60,12,11,1.5
slovakia,Slovakia,196,293,116,11.4
slovenia,Slovenia,270,51,276,10.6
solomon islands,Solomon Islands,56,11,1,1.2
somalia,Somalia,0,0,0,0
south africa,South Africa,225,76,81,8.2
spain,Spain,284,157,112,10
sri lanka,Sri Lanka,16,104,0,2.2
sudan,Sudan,8,13,0,1.7
suriname,Suriname,128,178,7,5.6
swaziland,Swaziland,90,2,2,4.7
sweden,Sweden,152,60,186,7.2
switzerland,Switzerland,185,100,280,10.2
syria,Syria,5,35,16,1
tajikistan,Tajikistan,2,15,0,0.3
thailand,Thailand,99,258,1,6.4
macedonia,Macedonia,106,27,86,3.9
timor-leste,Timor-Leste,1,1,4,0.1
togo,Togo,36,2,19,1.3
tonga,Tonga,36,21,5,1.1
trinidad & tobago,Trinidad & Tobago,197,156,7,6.4
tunisia,Tunisia,51,3,20,1.3
turkey,Turkey,51,22,7,1.4
turkmenistan,Turkmenistan,19,71,32,2.2
tuvalu,Tuvalu,6,41,9,1
uganda,Uganda,45,9,0,8.3
ukraine,Ukraine,206,237,45,8.9
united arab emirates,United Arab Emirates,16,135,5,2.8
united kingdom,United Kingdom,219,126,195,10.4
tanzania,Tanzania,36,6,1,5.7
usa,Usa,249,158,84,8.7
uruguay,Uruguay,115,35,220,6.6
uzbekistan,Uzbekistan,25,101,8,2.4
vanuatu,Vanuatu,21,18,11,0.9
venezuela,Venezuela,333,100,3,7.7
vietnam,Vietnam,111,2,1,2
yemen,Yemen,6,0,0,0.1
zambia,Zambia,32,19,4,2.5
zimbabwe,Zimbabwe,64,18,4,4.7
